date,symbol,scrip_name,qty
2025-08-05,ABCAPITAL,ADITYA BIRLA CAPITAL LIMITED,201
2025-08-05,ADANIPORTS,ADANI PORT & SEZ LTD,200
2025-08-05,AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,100
2025-08-05,AMBER,AMBER ENTERPRISES (I) LTD,8
2025-08-05,APLLTD,ALEMBIC PHARMA LTD,1
2025-08-05,ASHOKLEY,ASHOK LEYLAND LTD,8
2025-08-05,ATHERENERG,ATHER ENERGY LIMITED,39
2025-08-05,AURIONPRO,AURIONPRO SOLN LTD,10
2025-08-05,AXISBANK,AXIS BANK LIMITED,19
2025-08-05,AXISBPSETF,AXISAMC - AXISBPSETF,781
2025-08-05,BAJAJFINSV,BAJAJ FINSERV LIMITED,105
2025-08-05,BAJFINANCE,BAJAJ FINANCE LIMITED,220
2025-08-05,BANKBARODA,BANK OF BARODA,2
2025-08-05,BANKINDIA,BANK OF INDIA,9
2025-08-05,BBETF0432,EDELAMC - BBETF0432,5
2025-08-05,BEL,BHARAT ELECTRONICS LTD,1
2025-08-05,BELRISE,BELRISE INDUSTRIES LTD,2000
2025-08-05,BHEL,BHEL,100
2025-08-05,BSE,BSE LIMITED,15051
2025-08-05,CANBK,CANARA BANK,3
2025-08-05,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,69
2025-08-05,CHENNPETRO,CHENNAI PETROLEUM CORP LT,4
2025-08-05,COSMOFIRST,COSMO FIRST LIMITED,328
2025-08-05,DIVISLAB,DIVI'S LABORATORIES LTD,29
2025-08-05,DRREDDY,DR. REDDY'S LABORATORIES,32500
2025-08-05,EICHERMOT,EICHER MOTORS LIMITED,10
2025-08-05,FACT,FACT LTD,1
2025-08-05,FORCEMOT,FORCE MOTORS LIMITED,1
2025-08-05,FSL,FIRSTSOURCE SOLU. LTD.,2250
2025-08-05,GABRIEL,GABRIEL INDIA LTD,2
2025-08-05,GENUSPOWER,GENUS POWER INFRASTRU LTD,50
2025-08-05,GLOBUSSPR,GLOBUS SPIRITS LTD,1
2025-08-05,GMRAIRPORT,GMR AIRPORTS LIMITED,102
2025-08-05,GODFRYPHLP,GODFREY PHILLIPS INDIA LT,140
2025-08-05,GOKEX,GOKALDAS EXPORTS LTD.,1
2025-08-05,HAL,HINDUSTAN AERONAUTICS LTD,30
2025-08-05,HBLENGINE,HBL ENGINEERING LTD,20
2025-08-05,HDFCAMC,HDFC AMC LIMITED,2400
2025-08-05,HDFCBANK,HDFC BANK LTD,4228
2025-08-05,HEROMOTOCO,HERO MOTOCORP LTD,151
2025-08-05,HINDUNILVR,HINDUSTAN UNILEVER LTD.,15
2025-08-05,ICICIBANK,ICICI BANK LTD.,41
2025-08-05,IDFCFIRSTB,IDFC FIRST BANK LIMI,137
2025-08-05,IIFL,IIFL HOLDINGS LIMITED,1
2025-08-05,INFY,INFOSYS TECHNOLOGIES LTD,114
2025-08-05,INOXINDIA,INOX INDIA LIMITED,1
2025-08-05,IRCON,IRCON,100
2025-08-05,ITCHOTELS,ITC HOTELS LIMITED,5
2025-08-05,JIOFIN,JIO FIN SERVICES LTD,174
2025-08-05,JSL,JSL Limited,25
2025-08-05,JSWENERGY,JSW ENERGY LIMITED,300
2025-08-05,JWL,JUPITER WAGONS LIMITED,20
2025-08-05,KPEL,K.P. ENERGY LIMITED,3
2025-08-05,LICHSGFIN,LIC HOUSING FINANCE LTD,150
2025-08-05,LIQUIDBETF,BFAM - LIQUIDBETF,48
2025-08-05,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,10
2025-08-05,LT,LARSEN & TOUBRO LTD.,31
2025-08-05,LXCHEM,LAXMI ORGANIC INDUS LTD,1000
2025-08-05,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,13
2025-08-05,MAFANG,MIRAEAMC - MAFANG,110
2025-08-05,MAHLOG,MAHLOG,3645
2025-08-05,MARUTI,MARUTI SUZUKI INDIA LTD.,43
2025-08-05,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,34
2025-08-05,MCX,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,1
2025-08-05,MID150CASE,ZERODHAAMC - MID150CASE,1000
2025-08-05,MTARTECH,MTAR TECHNOLOGIES LIMITED,1
2025-08-05,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,36
2025-08-05,NATIONALUM,NATIONAL ALUMINIUM CO LTD,301
2025-08-05,NETWEB,NETWEB TECH INDIA LTD,800
2025-08-05,NIACL,THE NEW INDIA ASSU CO LTD,1
