date,symbol,scrip_name,client_name,buy_sell,qty,price,deal_type
2025-08-05 00:00:00,AGUL,A G Universal Limited,AUM SECURITIES PVT. LTD.,SELL,64000,59.73,bulk
2025-08-05 00:00:00,AGUL,A G Universal Limited,LIMITED SHIVJI FINANCE & INVESTMENTS PRIVATE,BUY,38000,59.8,bulk
2025-08-05 00:00:00,AMBICAAGAR,Ambica Agarbathies & Arom,IRAGE BROKING SERVICES LLP,BUY,205820,29.22,bulk
2025-08-05 00:00:00,AMBICAAGAR,Ambica Agarbathies & Arom,IRAGE BROKING SERVICES LLP,SELL,266377,29.11,bulk
2025-08-05 00:00:00,AMBICAAGAR,Ambica Agarbathies & Arom,RIMPY MITTAL,SELL,619866,29.3,bulk
2025-08-05 00:00:00,AMBICAAGAR,Ambica Agarbathies & Arom,RIMPY MITTAL,BUY,619866,29.5,bulk
2025-08-05 00:00:00,AROGRANITE,Aro Granite Industries Li,RIMPY MITTAL,SELL,40211,37.95,bulk
2025-08-05 00:00:00,AROGRANITE,Aro Granite Industries Li,RIMPY MITTAL,BUY,99321,37.5,bulk
2025-08-05 00:00:00,BRNL,Bharat Road Network Ltd,VISTAR FINANCIERS PRIVATE LIMITED,SELL,437478,19.69,bulk
2025-08-05 00:00:00,CPPLUS,Aditya Infotech Limited,INVESCO MUTUAL FUND,BUY,984716,1023.57,bulk
2025-08-05 00:00:00,GATECH,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,BUY,100000,0.56,bulk
2025-08-05 00:00:00,GATECH,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,SELL,5600000,0.55,bulk
2025-08-05 00:00:00,GATECHDVR,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,SELL,6472168,0.47,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,7980613,54.15,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,7980613,54.17,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,HRTI PRIVATE LIMITED,SELL,9470034,54.31,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,HRTI PRIVATE LIMITED,BUY,10214630,54.33,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,MATHISYS ADVISORS LLP,SELL,6070635,54.3,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,MATHISYS ADVISORS LLP,BUY,6086256,54.3,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,QE SECURITIES LLP,SELL,6039489,54.29,bulk
2025-08-05 00:00:00,JAYNECOIND,Jayaswal Neco Industr Ltd,QE SECURITIES LLP,BUY,6108750,54.24,bulk
2025-08-05 00:00:00,KAYTEX,Kaytex Fabrics Limited,LEADING LIGHT FUND VCC - THE VINTAGE,SELL,88800,151.14,bulk
2025-08-05 00:00:00,KAYTEX,Kaytex Fabrics Limited,MALANI WEALTH ADVISORS PRIVATE LIMITED,BUY,104000,144.0,bulk
2025-08-05 00:00:00,KAYTEX,Kaytex Fabrics Limited,MANSI SHARE AND STOCK BROKING PRIVATE LIMITED,BUY,132000,141.17,bulk
2025-08-05 00:00:00,KAYTEX,Kaytex Fabrics Limited,NEO APEX VENTURE LLP,BUY,86400,136.84,bulk
2025-08-05 00:00:00,LAXMIINDIA,Laxmi India Finance Ltd,BOFA SECURITIES EUROPE SA,SELL,354508,141.12,bulk
2025-08-05 00:00:00,LAXMIINDIA,Laxmi India Finance Ltd,GRT STRATEGIC VENTURES LLP,SELL,282848,140.34,bulk
2025-08-05 00:00:00,LAXMIINDIA,Laxmi India Finance Ltd,GRT STRATEGIC VENTURES LLP,BUY,282848,140.26,bulk
2025-08-05 00:00:00,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,LLOYDS ENTERPRISES LIMITED,SELL,1420000,70.5,block
2025-08-05 00:00:00,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,THRIVENI EARTHMOVERS PRIVATE LIMITED,BUY,1420000,70.5,block
2025-08-05 00:00:00,MASTER,Master Components Limited,MITTAL ANALYTICS PRIVATE LIMITED,BUY,20000,355.05,bulk
2025-08-05 00:00:00,MASTER,Master Components Limited,MUDDURAJ CHANDRASHEKHAR KULKARNI HUF,SELL,50000,352.22,bulk
2025-08-05 00:00:00,MASTER,Master Components Limited,SAFIR ANAND,BUY,20000,350.0,bulk
2025-08-05 00:00:00,MASTER,Master Components Limited,SHRIKANT HANMANT JOSHI HUF,SELL,50000,352.22,bulk
2025-08-05 00:00:00,MASTERTR,Master Trust Limited,SYLPH TECHNOLOGIES LIMITED,SELL,1270306,163.24,bulk
2025-08-05 00:00:00,MASTERTR,Master Trust Limited,SYLPH TECHNOLOGIES LIMITED,BUY,1282334,163.16,bulk
2025-08-05 00:00:00,MOKSH,Moksh Ornaments Limited,VINCENT COMMERCIAL COMPANY LIMITED,SELL,520987,13.65,bulk
2025-08-05 00:00:00,MVKAGRO,M.V.K. Agro Food Prod Ltd,INDO THAI SECURITIES LTD,BUY,312000,250.07,bulk
2025-08-05 00:00:00,MVKAGRO,M.V.K. Agro Food Prod Ltd,KALPALABDHI SECURITIES PRIVATE LIMITED,SELL,106800,250.2,bulk
2025-08-05 00:00:00,MVKAGRO,M.V.K. Agro Food Prod Ltd,MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED,SELL,80400,250.1,bulk
2025-08-05 00:00:00,MVKAGRO,M.V.K. Agro Food Prod Ltd,NEO APEX SHARE BROKING SERVICES LLP,BUY,78000,250.1,bulk
2025-08-05 00:00:00,MVKAGRO,M.V.K. Agro Food Prod Ltd,NEO APEX VENTURE LLP,SELL,398400,250.08,bulk
2025-08-05 00:00:00,NEWGEN,Newgen Software Tech Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,914530,915.71,bulk
2025-08-05 00:00:00,NEWGEN,Newgen Software Tech Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,914530,916.39,bulk
2025-08-05 00:00:00,NEWGEN,Newgen Software Tech Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,787389,928.8,bulk
2025-08-05 00:00:00,NEWGEN,Newgen Software Tech Ltd,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,787389,929.28,bulk
2025-08-05 00:00:00,ORTINGLOBE,ORTIN GLOBAL LIMITED,PRABHA RAMESHKUMAR GUPTA,SELL,50000,17.19,bulk
2025-08-05 00:00:00,ORTINGLOBE,ORTIN GLOBAL LIMITED,SHIVAM OMAR,BUY,39490,16.77,bulk
2025-08-05 00:00:00,ORTINGLOBE,ORTIN GLOBAL LIMITED,SHIVAM OMAR,SELL,41065,17.04,bulk
2025-08-05 00:00:00,ORTINGLOBE,ORTIN GLOBAL LIMITED,SURESH GADALAY,BUY,91800,17.1,bulk
2025-08-05 00:00:00,PRAKASH,Prakash Industries Ltd.,GRAVITON RESEARCH CAPITAL LLP,BUY,1113909,185.5,bulk
2025-08-05 00:00:00,PRAKASH,Prakash Industries Ltd.,GRAVITON RESEARCH CAPITAL LLP,SELL,1113909,185.62,bulk
2025-08-05 00:00:00,PROFX,Pro FX Tech Limited,NISHANT JAIN,BUY,96000,123.88,bulk
2025-08-05 00:00:00,TANLA,Tanla Platforms Limited,GRAVITON RESEARCH CAPITAL LLP,BUY,823232,662.56,bulk
2025-08-05 00:00:00,TANLA,Tanla Platforms Limited,GRAVITON RESEARCH CAPITAL LLP,SELL,823232,662.99,bulk
2025-08-05 00:00:00,VIMTALABS,Vimta Labs Limited,HRTI PRIVATE LIMITED,BUY,280886,664.14,bulk
2025-08-05 00:00:00,VIMTALABS,Vimta Labs Limited,HRTI PRIVATE LIMITED,SELL,302727,664.09,bulk
2025-08-05 00:00:00,ZUARI,Zuari Agro Chemicals Ltd,AAKRAYA RESEARCH LLP,BUY,264050,348.57,bulk
2025-08-05 00:00:00,ZUARI,Zuari Agro Chemicals Ltd,AAKRAYA RESEARCH LLP,SELL,264050,348.93,bulk
2025-08-05 00:00:00,ZUARI,Zuari Agro Chemicals Ltd,HRTI PRIVATE LIMITED,BUY,352304,347.83,bulk
2025-08-05 00:00:00,ZUARI,Zuari Agro Chemicals Ltd,HRTI PRIVATE LIMITED,SELL,398782,348.55,bulk
2025-08-06 00:00:00,ADANIENSOL,Adani Energy Solution Ltd,ENVESTCOM HOLDING RSC LTD,SELL,11000000,790.0,bulk
2025-08-06 00:00:00,ARKADE,Arkade Developers Limited,JAINAM BROKING LIMITED,SELL,45468,182.3,bulk
2025-08-06 00:00:00,ARKADE,Arkade Developers Limited,JAINAM BROKING LIMITED,BUY,998531,179.82,bulk
2025-08-06 00:00:00,AROGRANITE,Aro Granite Industries Li,RIMPY MITTAL,SELL,68869,40.65,bulk
2025-08-06 00:00:00,AROGRANITE,Aro Granite Industries Li,RIMPY MITTAL,BUY,110567,40.33,bulk
2025-08-06 00:00:00,BLACKBUCK,Zinka Logistics Sol Ltd,GRAVITON RESEARCH CAPITAL LLP,BUY,1079386,544.07,bulk
2025-08-06 00:00:00,BLACKBUCK,Zinka Logistics Sol Ltd,GRAVITON RESEARCH CAPITAL LLP,SELL,1079386,544.73,bulk
2025-08-06 00:00:00,GATECH,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,SELL,8000000,0.53,bulk
2025-08-06 00:00:00,GATECHDVR,GACM Technologies Limited,VENKATA TIRUPATI RAO JONNA,SELL,4277881,0.44,bulk
2025-08-06 00:00:00,GVPTECH,GVP Infotech Limited,LINKSTAR TRUST,SELL,2450000,9.52,bulk
2025-08-06 00:00:00,HEADSUP,Heads UP Ventures Limited,NILESH DHAKAD HUF .,BUY,113567,11.08,bulk
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,BANDHAN MUTUAL FUND,BUY,88000,1190.5,block
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LTD,BUY,88000,1190.5,block
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,DENDANA INVESTMENTS MAURITIUS LIMITED,BUY,15891,1190.5,block
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,EDELWEISS MUTUAL FUND,BUY,99000,1190.5,block
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,FIDELITY FUNDS - INDIA FOCUS FUND,BUY,549404,1190.5,block
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,FIDELITY FUNDS - SUSTAINABLE ASIA EQUITY FUND,BUY,1476234,1190.5,block
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,FIDELITY FUNDS - SUSTAINABLE ASIA EQUITY II POOL,BUY,560036,1190.5,block
2025-08-11 00:00:00,HOMEFIRST,Home First Fin Co Ind Ltd,FIDELITY INDIA FUND,BUY,47752,1190.5,block
